source_pair_id,char_id,target_char,candidate_instance_id,reference_instance_id,human_mean,parsed_asds_score,direct_ink_asds_score,direct_minus_parsed,direct_polar_js_similarity,direct_grid_js_similarity,direct_projection_js_similarity,direct_selected_scale,direct_selected_rotation_degrees,direct_selected_translation_x,direct_selected_translation_y,direct_alignment_ink_iou
NAT-23-344b9309666f,23,杆,23/15,23/3,2.6666666666666665,66.96682045315518,66.7976848815347,-0.16913557162047255,0.6430339813647767,0.8875316631391355,0.5648220825942205,1.2,3.0,-30.0,22.0,0.1363379275444289
NAT-23-bcbba5b05e20,23,杆,23/7,23/19,3.6666666666666665,82.27576864772566,81.97650571937952,-0.2992629283461383,0.7979957971810427,0.920973187996237,0.8201468064508652,1.2,2.0,-38.0,-4.0,0.5073943564274022
NAT-23-d711e4bc8e55,23,杆,23/5,23/16,4.0,77.14088291982016,76.54630783774861,-0.5945750820715432,0.7471413475309856,0.9200026144500427,0.6964249529219324,0.8,1.0,4.0,6.0,0.34056300344405543
NAT-24-2f453c32367c,24,才,24/1,24/10,3.0,62.13222364446405,60.89895119397168,-1.2332724504923647,0.6094317265131761,0.6751115358544125,0.540803820015545,1.0,3.0,27.0,-36.0,0.1485280357014324
NAT-24-4a7e008af2c9,24,才,24/2,24/19,4.0,80.95183293519429,80.37826242218948,-0.5735705130048103,0.7825991035932133,0.9199790880445424,0.7864425899997617,1.2,-1.0,95.0,-60.0,0.5651717807500656
NAT-24-885581c06c5c,24,才,24/13,24/10,3.6666666666666665,68.00132144698473,67.89145599316029,-0.10986545382444035,0.6479349718670525,0.804600823625751,0.6977997072053566,1.2,3.0,4.0,-46.0,0.3162508207485227
NAT-25-5a8f80223d1c,25,尽,25/15,25/17,5.0,93.65970092342295,92.83743722568954,-0.8222636977334048,0.9222964609300011,0.9775192152585342,0.9075931154474308,1.0,0.0,-1.0,-3.0,0.6609810921591961
NAT-25-8ea65da77383,25,尽,25/0,25/20,2.6666666666666665,63.35292005557195,63.552390690758884,0.19947063518693398,0.6012178456229462,0.7757115591926153,0.6554312072842284,0.95,-3.0,18.0,-27.0,0.195168017628079
NAT-25-dff50d4daffd,25,尽,25/14,25/20,3.0,54.673073419343474,54.57698117632448,-0.09609224301899388,0.5254117281831482,0.609442441995501,0.5771015715714394,1.2,-2.0,13.0,10.0,0.0747628927089508
NAT-26-29dfe830f6f4,26,半,26/13,26/5,1.3333333333333333,70.07901364607187,70.09999092539955,0.02097727932768123,0.6636713605283722,0.8735552354577046,0.7026444771031954,1.0,3.0,10.0,-37.0,0.41122864862389524
NAT-26-2b9714fef184,26,半,26/2,26/15,2.0,54.35417225010157,54.664259562532806,0.3100873124312358,0.4775550617915869,0.839902914728352,0.5757907677464293,1.2,-3.0,9.0,-19.0,0.20231858498884797
NAT-26-c279289d82d1,26,半,26/18,26/16,4.0,85.67480859917424,83.69356762509004,-1.9812409740842014,0.8163836052191634,0.9434499094568353,0.826331107859738,0.8,-1.0,1.0,-16.0,0.6682972829610421
NAT-27-2b99ac3752db,27,何,27/9,27/6,1.3333333333333333,69.11355031226063,68.99062243803763,-0.12292787422299511,0.6607574925877242,0.8577727321884447,0.6580671316046842,1.2,-2.0,30.0,42.0,0.20803743823019274
NAT-27-628912027729,27,何,27/14,27/4,3.0,46.63624245678864,41.13119698758547,-5.505045469203175,0.44743793846175617,0.28532703009999183,0.3687090562508438,1.05,3.0,-29.0,-13.0,0.05162876459741856
NAT-27-d2fab20ae3b5,27,何,27/15,27/20,3.0,65.94507660422238,65.98860699133172,0.04353038710934243,0.640411348550217,0.7559955914387523,0.6546585814156833,0.95,2.0,-24.0,-14.0,0.23404585683970808
NAT-27-ea66b7985eae,27,何,27/8,27/6,3.3333333333333335,78.19973727056752,78.03174064456692,-0.16799662600060117,0.7657974201220598,0.8542742190709356,0.7741205299972482,1.2,-3.0,12.0,2.0,0.3587229560003241
NAT-28-01808705951b,28,亲,28/15,28/17,5.0,93.77466387603877,92.72644921408674,-1.0482146619520307,0.9192208549107815,0.9800514017232902,0.912014556298846,1.0,0.0,-1.0,-2.0,0.7340989914300705
NAT-28-5481e79426db,28,亲,28/2,28/0,3.0,70.55090259793195,70.61035100181338,0.05944840388143291,0.7187170073823317,0.7320919383261468,0.6212520940105308,1.2,-3.0,37.0,7.0,0.2753678893037558
